q,a1,a2,a3,a4,ca,isYear
Совещательный орган при императоре в начале XX в.,Сенат,Государственный совет,Консилия министров,Верховный тайный совет,2,0
"Министр внутренних дел с 1904 г., либерал, автор проекта «О мерах к усовершенствованию государственного порядка»",М.Т. Лорис-Меликов,П.Д. Святополк-Мирский,П.Н. Милюков,С.Ю. Витте,2,0
Какое из названных событий произошло 27 января 1904 г.?,подрыв флагманского корабля «Петропавловск»,высадка японских войск на Ляодунском полуострове,героический бой «Варяга» и «Корейца»,заключение Портсмутского мирного договора ,3,0
Что из названного относится к результатам первой российской революции?,появление многопартийности,формирование конституционной монархии,ликвидация сословного строя,введение рабочего контроля за производством,1,0
"Для выхода из экономического кризиса, вызванного Первой мировой войной, российское правительство в конце 1916 г.",ввело 8-часовой рабочий день в промышленности,ликвидировало помещичье землевладение,отменило выкупные платежи,ввело продовольственную разверстку ,4,0
"Творчество поэтов Н.С. Гумилева, А.А. Ахматовой,
О.А. Мандельштама в начале XX в. относят к
",акмеизму,футуризму,импрессионизму,реализму,1,0
Самое многочисленное сословие Российской империи,мещане,казачество,крестьянство,разночинцы,3,0
Усиление позиций России в Китае вызывало в первую очередь недовольство,США,Японии,Великобритании,Германии,2,0
Какое из названных событий произошло раньше других?,восстание на броненосце «Князь Потемкин Таврический»,восстание на крейсере «Очаков»,стачка текстильщиков в Иваново-Вознесенске,созыв первой Государственной думы,3,0
"Отметьте, о ком идет речь. Дворянин, политический деятель, лидер октябристов. Один из основателей партии «Союз 17 октября». Депутат, а затем председатель III и IV Государственной думы.",П.А. Столыпин,П.Н. Милюков,М.В. Родзянко,Г.Е. Львов ,3,0
Аграрная реформа П.А. Столыпина предусматривала,ликвидацию помещичьего землевладения,социализацию земли,создание частных крестьянских хозяйств,национализацию земли,3,0
Какое из перечисленных событий Первой мировой войны произошло в 1914 г.?,наступление русских войск в Галиции,отступление русских войск из Пруссии,наступление русских войск на Юго-Восточном фронте,сдача противнику Риги,1,0
"Какие из перечисленных требований были характерны для либеральных партий, оформившихся в России в 1905 г.? ","введение демократических свобод, принципа разделения властей и решение земельного вопроса путем частичного отчуждения помещичьих земель","сохранение «общинного» существования и основ самодержавного строя, решение рабочего вопроса путем создания системы социального страхования","провозглашение демократических свобод, уничтожение самодержавного строя, отмена выкупных платежей и национализация земли","провозглашение демократических свобод, ликвидация самодержавия и социализация земли",1,0
Кто из названных ученых является создателем учения о ноосфере?,И. Сеченов,И. Павлов,Н. Жуковский,Вернадский ,4,0
"Название этого направления в поэзии происходит от греческого слова, означающего высшую степень чего-либо, цветущую силу. Это",акмеизм,футуризм,символизм,импрессионизм,1,0
Самый экономически могущественный класс российского общества в начале XX в.,рабочий класс,буржуазия,интеллигенция,дворянство,2,0
Кто из названных государственных деятелей был сторонником экономического (привлечения иностранных инвестиций) и политического реформирования Российской империи?,С.Ю. Витте,В.К. Плеве,П.Д. Святополк-Мирский,А.И. Путилов,1,0
