,Unnamed: 0,class,id,id_1,id_2,jaccard,text_1,text_2,ca
0,0,0,1,201,8159,0.65,Полицейским разрешат стрелять на поражение по гражданам с травматикой.,Полиции могут разрешить стрелять по хулиганам с травматикой.,1
1,1,0,2,202,8158,0.5,Право полицейских на проникновение в жилище решили ограничить.,Правила внесудебного проникновения полицейских в жилище уточнят.,1
2,2,0,3,273,8167,0.611429,Президент Египта ввел чрезвычайное положение в мятежных городах.,Власти Египта угрожают ввести в стране чрезвычайное положение.,1
3,3,-1,4,220,8160,0.32403699999999996,Вернувшихся из Сирии россиян волнует вопрос трудоустройства на родине.,Самолеты МЧС вывезут россиян из разрушенной Сирии.,0
4,4,0,5,223,8160,0.606218,В Москву из Сирии вернулись 2 самолета МЧС с россиянами на борту.,Самолеты МЧС вывезут россиян из разрушенной Сирии.,1
5,5,1,6,154,8153,0.5,Приставы соберут отпечатки пальцев российских должников.,Приставы снимут отпечатки пальцев у злостных неплательщиков.,1
6,6,-1,7,288,8170,0.316228,На саратовского дебошира с борта самолета Москва - Хургада заведено дело.,Саратовский дебошир отказывается возвращаться домой из Египта.,0
7,7,0,8,237,8163,0.75,ЦИК хочет отказаться от электронной системы подсчета голосов.,ЦИК может отказаться от электронных средств подсчета голосов.,1
8,8,-1,9,192,8156,0.008591,Суд Петербурга оставил на потом дело о гибели подростка в полиции.,"Лондонский Гайд-парк - это не место для митингов, а прежде всего парк.",0
9,9,-1,10,127,8149,0.0,Страны ОПЕК сократили добычу нефти на 1 млн баррелей в день.,Обама продлил полномочия НАСА по сотрудничеству с Россией.,0
10,10,1,11,246,8165,0.666667,Москвичи смогут забронировать в Интернете место на кладбище.,В Москве можно будет забронировать место на кладбище через интернет.,1
11,11,-1,12,312,8173,0.0,Въезд в центр Москвы автомобилям с двигателями Евро-2 не запрещали.,Сборная России пробилась в плей-офф чемпионата мира по хоккею с мячом.,0
12,12,0,13,7,4111,0.24596700000000002,В Подмосковье произошел пожар на железной дороге.,В Подмосковье загорелись цистерны с бензином.,1
13,13,1,14,4,4112,0.728571,Северокорейский лидер впервые за 19 лет поздравил граждан с Новым годом.,Лидер КНДР впервые за 19 лет поздравил сограждан с Новым годом.,1
14,14,1,15,6,4113,0.516667,Мужчина из Подмосковья случайно убил жену в Новый год.,Житель Подмосковья случайно убил жену на новогоднем застолье.,1
15,15,0,16,1,4114,0.648267,"Избежать ""фискального обрыва"": Сенат США поддержал повышение налогов.","Сенат США не допустит ""фискального обрыва"".",1
16,16,0,17,2,4114,0.576906,"""Фискальный обрыв"" в США временно предотвращен.","Сенат США не допустит ""фискального обрыва"".",1
17,17,1,18,122,4222,0.7485539999999999,Житель Украины расстрелял посетителей кафе.,На Украине мужчина через окно расстрелял посетителей кафе.,1
18,18,0,19,5,4115,0.5125,В Кот-Д`Ивуаре десятки человек погибли в давке на новогоднем салюте.,В давке у стадиона в Кот-д’Ивуаре погибли 60 человек.,1
19,19,0,20,188,4296,0.715542,В Абхазии отомстили за Деда Хасана.,В Абхазии убили врага Деда Хасана.,1
20,20,0,21,3,4116,0.8714290000000001,Чечня попросила националистов составить кодекс поведения кавказцев.,Националисты помогут Чечне составить кодекс поведения кавказцев.,1
21,21,1,22,11,4117,0.667362,В новогоднюю ночь во Франции сожгли больше тысячи машин.,В новогоднюю ночь во Франции сожгли 1193 автомобиля.,1
22,22,1,23,12,4118,0.9,В Анголе в давке во время церковной службы погибли 10 человек.,В ходе давки на церковной службе в Анголе погибли 10 человек.,1
23,23,1,24,183,4297,0.4957,Morgan Stanley взял на работу бывшего зампреда Банка России.,Бывший глава ФСФР нашел работу в Morgan Stanley.,1
24,24,1,25,9,4119,0.7406590000000001,"Конгресс США утвердил план по предотвращению ""фискального обрыва"".","Палата представителей утвердила план предотвращения ""фискального обрыва"".",1
25,25,0,26,116,4223,0.683333,Счетная палата проверит Газпром на непрофильные активы.,"Счетная палата проверит ""Газпром"" впервые за пять лет.",1
26,26,1,27,10,4120,0.591667,Новые комиксы о пророке Мухаммеде появились во Франции.,Во Франции издали комикс по мотивам жизни пророка Мухаммада.,1
27,27,0,28,8,4121,0.547886,Число убитых в ходе конфликта в Сирии превысило 60 тысяч.,В ходе сирийского конфликта погибли 60 тысяч человек.,1
28,28,1,29,15,4122,0.523996,В США скончалась звезда эстрады 1950-х Патти Пейдж.,Скончалась американская певица Патти Пейдж.,1
29,29,1,30,13,4123,0.56598,"Сенат США единогласно осудил ""закон Димы Яковлева"".",Сенат США единогласно осудил запрет на усыновление.,1
30,30,0,31,241,4360,0.430353,Госдума еще на шаг приблизила антитабачный закон.,Госдума приняла антитабачный законопроект во втором чтении.,1
31,31,-1,32,242,4360,0.154303,ЛДПР: 80% жителей России поддерживают антитабачный закон.,Госдума приняла антитабачный законопроект во втором чтении.,0
32,32,1,34,186,4299,0.632644,"СК выяснит, был ли подкуп свидетеля по делу Ю.Буданова.",СК проверит информацию о подкупе свидетеля по делу об убийстве Буданова.,1
33,33,0,35,182,4300,0.7869470000000001,ЕБРР повысил прогноз роста экономики РФ в 2013г.,ЕБРР повысил прогноз по росту экономики России.,1
34,34,1,36,14,4124,0.632644,В Ватикане перестали принимать платежи банковскими картами.,ЦБ Италии запретил платежи банковскими картами в Ватикане.,1
35,35,1,37,117,4224,0.8348409999999999,В Германии начался процесс по делу российских шпионов - супругов Аншлаг.,В Германии начался процесс над российскими шпионами.,1
36,36,1,38,190,4302,0.745065,Глава управы района Северное Медведково задержан за взятку.,Главу управы Северное Медведково поймали на взятке.,1
37,37,1,39,118,4225,0.6711699999999999,"""Болотное дело"": в СКР на допрос ждут блогера Митю Алешковского.","Митю Алешковского вызвали на допрос по ""болотному делу"".",1
38,38,1,40,19,4125,0.501996,"США получат $1,4 млрд за аварию на нефтяной платформе в Мексиканском заливе.","Владелец платформы Deepwater Horizon оштрафован на 1,4 миллиарда долларов.",1
39,39,1,41,21,4126,0.730297,Корреспондента российского телеканала ранили в пригороде Дамаска.,В Сирии ранили корреспондента российского телеканала.,1
40,40,1,42,20,4127,0.606218,Взрыв на заправочной станции в Дамаске унес жизни 11 человек.,При взрыве на автозаправке в Дамаске погибли 11 человек.,1
41,41,1,43,180,4303,0.82,В Эритрее произошла попытка государственного переворота.,В Эритрее произошла попытка военного переворота.,1
42,42,0,44,17,4128,0.529775,Старейший банк Швейцарии закрывается из-за американских клиентов.,Старейший банк Швейцарии закрылся из-за иска властей США.,1
43,43,1,45,115,4226,0.6280640000000001,"Экономический ущерб от ""арабской весны"" составит $225 млрд.","Оценку убытков от ""арабской весны"" повысили до 225 миллиардов долларов.",1
44,44,0,46,18,4129,0.57701,Марокканские бедуины нашли в Сахаре уникальный марсианский метеорит.,В Сахаре обнаружен рекордно влажный марсианский метеорит.,1
45,45,1,47,16,4130,0.509201,"Пошел на посадку: ""АэроСвит"" начал процедуру банкротства.","Украинский суд начал процедуру банкротства компании ""Аэросвит"".",1
46,46,0,48,258,4361,0.836909,В египетский Суэц из-за беспорядков введены правительственные войска.,В египетский Суэц ввели войска.,1
47,47,1,49,119,4227,0.6480739999999999,РЖД подало иск о взыскании 2 млн рублей с Apple.,РЖД через суд потребовали с Apple 2 миллиона рублей.,1
